Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
Обмен.рф - Брусника Обмен;Кировский;улица Ватутина 24/1;66;7;10;6500000;97305
Обмен.рф - Брусника Обмен;Кировский;улица Крупской 12;71;1;10;7700000;108298
КВАРТИРНОЕ РЕШЕНИЕ;Советский;улица Лаптева 3;61;1;9;5890000;96557
ID 70295415;Октябрьский;улица Свободы 45;62;9;9;4495000;72383
ID 79765445;Ленинский;проспект Карла Маркса 40;76;3;10;12311392;161992
ID 78195402;Кировский;проспект Комарова 14;64;7;10;8500000;132813
Dominica Online;Кировский;улица 3-я Енисейская 28;67;14;16;6949977;103731
Обмен.рф - Брусника Обмен;Центральный;улица Завертяева 18к1;73;10;10;6500000;88315
Империя;Центральный;Сенная улица 30;120;6;24;17652360;147103
МИАРД ВЛАДИС;Центральный;улица 20-я Линия 55а;63;1;5;6130000;96840
АВЕСТА-РИЭЛТ;Центральный;Волочаевская улица 17В;49;1;5;4350000;88595
Ледон;Кировский;улица Перелета 2;64;5;9;5150000;80469
Квартсервис;Кировский;проспект Комарова 15к3;95;9;10;11000000;115789
МИАРД ВЛАДИС;Советский;мкр. Заозерный улица Бархатовой;62;4;5;5000000;79872
ПОЛЕЗНЫЕ ЛЮДИ;Советский;улица 50 лет Профсоюзов 95;59;3;5;4400000;74576
Альянс Сити;Центральный;улица 21-я Амурская 28;63;1;5;4600000;73016
Бюро недвижимости Зуевой Я.Н.;Центральный;улица Орджоникидзе 268к1;72;4;16;7845552;108966
Альянс Сити;Ленинский;улица 25 лет Октября 11;96;2;11;10500000;109375
Этажи Омск;Кировский;улица Можайского 1;61;5;5;4600000;74554
АССОЛЬ;Кировский;улица Лукашевича 15А;63;5;5;6200000;97179
ТандемТ;Кировский;улица 70 лет Октября 15;116;6;10;13500000;116379
Держава;Советский;улица 22 Апреля 50;58;5;5;6200000;106897
Альянс Сити;Советский;мкр. Город Нефтяников Городок Нефтяников мкр;56;5;5;4000000;71429
ТандемТ;Кировский;Волгоградская улица 24;63;5;9;5250000;83333
Квартсервис;Центральный;улица 8-я Амурская 64;70;1;5;5800000;82857
ЛИОРА;Кировский;улица Лукашевича 19;59;1;5;4990000;84576
Квартсервис;Кировский;улица Рокоссовского 30;62;7;9;6290000;100159
Этажи Омск;Советский;улица Красный Путь 135к1;117;1;17;17999982;153846
Ключники;Ленинский;улица 1-й Красной Звезды 81;77;8;10;6338717;82321
ID 70295187;Октябрьский;улица Николая Худенко 5;66;1;9;6599000;99985
Квартсервис;Центральный;улица Завертяева 18к1;65;6;10;6700000;101979
ТандемТ;Центральный;улица Багратиона 33;55;8;17;6870050;124910
ID 70293340;Центральный;улица Богдана Хмельницкого 38;74;6;16;7000000;93960
ID 70295652;Октябрьский;улица Масленникова 45;70;4;10;7700000;109531
Квадраты;Советский;Пригородная улица 23к3;80;7;9;8350000;104245
Альфа риелт;Октябрьский;улица Шебалдина 199/1;83;2;8;10900000;131325
Ас-риэлт;Октябрьский;улица Орловского 3;103;5;5;12299000;119408
СОТА;Центральный;Волочаевская улица 15к2;128;7;11;19200000;150000
ИПОТЕКА-ЦЕНТР;Советский;проспект Мира 41;39;5;5;3650000;92405
Недвижимость Гарант;Центральный;улица 24-я Северная 165;47;4;5;3990000;84894
